cveid,brief
CVE-2024-0765,"As a default user on a multi-user instance of AnythingLLM, you could execute a call to the `/export-data` endpoint and exfiltrate sensitive data from the system since the data gets deleted after download.   This is critical due to the sensitivity of the data and the potential for unauthorized access, evidenced by the high CVSS score of 9.6 indicating confidentiality impact."
CVE-2024-27564,"A Server-Side Request Forgery (SSRF) vulnerability in the ChatGPT component pictureproxy.php allows arbitrary remote requests via URL injection.   This vulnerability is relevant to LLM systems because it could exploit the underlying infrastructure that supports LLM functionality, demonstrating potential security flaws such as allowing attackers to perform unauthorized actions."
CVE-2024-10100,"A path traversal vulnerability exists in the binary-husky/gpt_academic system due to improper handling of file parameters, allowing potential access to sensitive files.   This is relevant to LLMs as it compromises the security of a system designed for academic purposes involving GPT models, highlighting the risk of exposing sensitive application files.  "
CVE-2024-2624,"A path traversal and arbitrary file upload vulnerability has been identified in the parisneo/lollms-webui application, impacting its security protocols.   This vulnerability allows attackers to exploit insufficient input sanitization at specific endpoints, leading to potential leakage of sensitive information and unauthorized access. "
CVE-2024-3029,"In mintplex-labs/anything-llm, improper input validation allows an attacker to exploit a specific endpoint to delete all users and disable multi-user functionality.   This vulnerability is critical as it leads to unauthorized access and control, evidenced by phrases like ""deletes all users"" and ""create a new admin user without requiring a password."""
CVE-2024-29100,"The vulnerability CVE-2024-29100 in the AI Engine: ChatGPT Chatbot plugin allows for unrestricted uploads of potentially dangerous files.   This can lead to severe security risks, as file uploads could be leveraged to execute malicious code or compromise the system, as indicated by the description of ""Unrestricted Upload of File with Dangerous Type""."
CVE-2024-28224,"Ollama has a DNS rebinding vulnerability that enables unauthorized users to access its API, allowing potential interactions with large language models.   This is relevant to LLMs because it directly impacts the application's ability to securely manage interactions with the models, as it states users can ""chat with a large language model,"" which signifies exploitation in the context of LLM operations.  "
CVE-2024-25639,"The vulnerability in Khoj's application enables Cross-Site Scripting (XSS) through improper sanitization of AI model responses and user inputs, affecting both Desktop and Web clients.      This is relevant to LLMs because it involves ""Prompt Injection"" that can compromise responses generated by AI, demonstrating how unsafe user inputs can manipulate outputs, as indicated by ""inadequately sanitize the AI model's response.""  "
CVE-2024-2913,"A race condition vulnerability in the mintplex-labs/anything-llm system allows attackers to create unauthorized user accounts by exploiting the user invite acceptance process.   This vulnerability is critical because it enables multiple accounts from a single invite link, thus compromising system integrity; the advisory states, ""Attackers can exploit this vulnerability by sending multiple concurrent requests.""  "
CVE-2024-27565,"A Server-Side Request Forgery (SSRF) vulnerability in the weixin.php component of ChatGPT-wechat-personal allows attackers to force the application to make arbitrary requests.   This is relevant because SSRF vulnerabilities can lead to unrestricted access to internal resources, highlighting potential security flaws in LLM integration with other systems.  "
CVE-2024-3104,"A remote code execution vulnerability exists in the mintplex-labs/anything-llm system due to improper handling of environment variables.   This vulnerability allows attackers to inject arbitrary environment variables via the `POST /api/system/update-env` endpoint, enabling arbitrary code execution."
CVE-2024-3025,"mintplex-labs/anything-llm is vulnerable to path traversal attacks, allowing unauthorized access to sensitive files through manipulated logo filenames.   This vulnerability highlights a serious security flaw where ""insufficient validation of user-supplied input in the logo filename functionality"" can be exploited."
CVE-2024-3126,A command injection vulnerability in the 'run_xtts_api_server' function of the parisneo/lollms-webui allows remote code execution through unsanitized user input.   This vulnerability is significant because it can lead to arbitrary code execution on systems running the LLM web application.
CVE-2024-3028,"Improper input validation in the mintplex-labs/anything-llm component allows attackers to read and delete arbitrary files on the server.   This is relevant to LLMs as it targets the system running LLM applications, which could lead to unauthorized access to sensitive data stored in associated files like '.env'."
CVE-2024-31224,"The vulnerability identified as CVE-2024-31224 in GPT Academic involves the deserialization of untrustworthy data, which can lead to remote code execution when interacting with large language models.   This vulnerability highlights critical security risks in the LLM's backend services, allowing attackers to exploit the deserialization flaw via network interactions.  "
CVE-2024-3098,"A vulnerability in the `llama_index` package's `exec_utils` class allows for prompt injection, leading to arbitrary code execution within LLM systems.   This attack targets the inference component by exploiting insufficient input validation, as highlighted in the description: ""prompt injection leading to arbitrary code execution.""  "
CVE-2024-2952,"BerriAI/litellm is vulnerable to Server-Side Template Injection, allowing attackers to execute arbitrary code on the server through the `/completions` endpoint.   This vulnerability is particularly concerning as it involves LLM components, evidenced by ""the `hf_chat_template` method processing the `chat_template` parameter""."
CVE-2024-30256,"Open WebUI, a user-friendly interface for LLMs, is vulnerable to authenticated blind server-side request forgery (SSRF), which could potentially expose sensitive information or lead to unauthorized actions.   This vulnerability poses risks to LLM operations as it allows for deceptive requests to be made from the server, impacting the integrity of interactions—highlighted by its classification under CWE-918."
CVE-2024-3110,"A stored XSS vulnerability exists in the mintplex-labs/anything-llm application that can allow an attacker to take over an admin account by executing malicious JavaScript code.   This is highly relevant to LLM systems as it affects the application's integrity and potential misuse of LLM-generated content, highlighted by ""steal the admin's authorization token."""
CVE-2024-22422,"The vulnerability in ""AnythingLLM"" allows an unauthenticated denial of service attack via a poorly handled public API endpoint, leading to server crashes.   The ""data-export"" endpoint can be exploited due to insufficient error handling and lacks authentication, allowing attackers to crash the server with a single packet, indicating high availability impact with a CVSS score of 7.5.  "
CVE-2024-3102,"A JSON Injection vulnerability in the `mintplex-labs/anything-llm` application allows for brute force attacks targeting the username parameter during login.   This vulnerability is significant as it compromises the authentication process on an LLM-specific system, enabling attackers to ascertain full usernames through improper handling of input values.  "
CVE-2024-29090,"Server-Side Request Forgery (SSRF) vulnerability in the Jordy Meow AI Engine: ChatGPT Chatbot affects versions up to 2.1.4.   This vulnerability indicates that it can lead to significant security issues within the context of AI-integrated applications, as noted by the phrase ""Server-Side Request Forgery (SSRF)""."
CVE-2024-3101,"The vulnerability in mintplex-labs/anything-llm permits an attacker to escalate privileges by deactivating 'Multi-User Mode' through improper input validation, leading to potential unauthorized access.   This is relevant as it affects a system associated with LLMs and allows unauthorized administrative access, evidenced by ""deactivate 'Multi-User Mode'"" and the resulting creation of a new admin user."
CVE-2024-3150,"In mintplex-labs/anything-llm, a privilege escalation vulnerability allows users to gain administrator access through improper input validation in the thread update process.   This affects user roles within the system, enabling attackers to perform all actions due to the ""improper input validation when handling HTTP POST requests."""
CVE-2024-28088,"LangChain through version 0.1.10 is vulnerable to a path traversal attack that can lead to the disclosure of an API key for an LLM online service or even remote code execution.   This vulnerability allows an attacker to manipulate the path in a load_chain call, thus bypassing intended configuration loading behaviors, as highlighted in the description referencing “directory traversal” and risks related to API key exposure."
CVE-2024-3152,"mintplex-labs' anything-llm has vulnerabilities due to improper input validation in critical endpoints, allowing privilege escalation and unauthorized file access.   This is relevant because it highlights security flaws in an LLM application that could lead to severe impacts, evidenced by ""multiple security issues due to improper input validation""."
CVE-2024-2358,"A path traversal vulnerability in the '/apply_settings' endpoint of parisneo/lollms-webui allows attackers to execute arbitrary code due to insufficient input sanitization.   The vulnerability specifically affects a web interface used for LLM settings management, posing critical security risks (CVSS score 9.8).  "
CVE-2024-3033,"An improper authorization vulnerability in the mintplex-labs/anything-llm application allows unauthenticated users to execute destructive actions on the VectorDB.   This poses a risk to LLM systems as it can lead to data loss of document embeddings, affecting the functionality of chat workspaces and widgets."
CVE-2024-0116,"NVIDIA Triton Inference Server has a vulnerability that allows for an out-of-bounds read by releasing a shared memory region while it is in use, potentially leading to a denial of service.   This is relevant because Triton Inference Server is a key component in deploying machine learning models and can be targeted to disrupt inference services, as indicated by the mention of ""denial of service"".  "
CVE-2024-31451,"DocsGPT, a GPT-powered chat for documentation, has a vulnerability allowing unauthenticated limited file write due to a path traversal issue in routes.py.   This flaw can potentially compromise the integrity of the DocsGPT system, indicating how access control failures may lead to unexpected behaviors in LLM applications."
CVE-2024-3279,"An improper access control vulnerability in the mintplex-labs/anything-llm application allows unauthorized manipulation of the `anythingllm.db` database.   This is critical as it allows an attacker to import a database file without authentication, leading to potential data spoofing or deletion."
CVE-2024-3153,"Uncontrolled resource consumption in the mintplex-labs/anything-llm system allows for denial of service (DoS) by manipulating file upload requests.   This vulnerability highlights the risk of unsanitized input handling leading to service disruptions, making it critical for LLM-related systems."
CVE-2024-3271,"A command injection vulnerability in the run-llama/llama_index repository impacts the LLM system by allowing remote code execution via arbitrary inputs.   This vulnerability affects a critical component of the LLM's operational environment, enabling attack vectors that can compromise server security."
CVE-2024-3149,"A Server-Side Request Forgery (SSRF) vulnerability has been identified in the upload link feature of the mintplex-labs/anything-llm system.   This vulnerability allows an attacker to exploit the internal Collector API, leading to unauthorized actions such as arbitrary file deletion."
CVE-2024-3303,"An issue in GitLab allows for improper neutralization of input used for LLM prompting, leading to potential data exfiltration.   This vulnerability shows how prompt injection can compromise sensitive information from within GitLab, highlighting the need for strict input validation.  "
CVE-2024-3403,"The vulnerability in imartinez/privategpt version 0.2.0 allows local file inclusion, enabling attackers to read arbitrary files from the filesystem via the 'Search in Docs' feature.   This directly affects the security of LLM applications, as it can expose sensitive information and facilitate further attacks."
CVE-2024-3404,"In gaizhenbiao/chuanhuchatgpt version 20240121, there exists an improper access control vulnerability that allows authenticated users to access other users' chat history files.   This flaw poses a significant risk to sensitive information, as it allows a potential breach of user privacy through unauthorized access to chat histories."
CVE-2024-34359,"llama-cpp-python is vulnerable to Remote Code Execution due to Server-Side Template Injection in its model metadata processing.   The `jinja2` template is rendered without proper sandboxing, enabling attackers to execute arbitrary code via crafted metadata payloads."
CVE-2024-32965,"An unauthorized SSRF vulnerability in the lobe-chat framework allows attackers to send malicious requests that can access internal network services, potentially leaking sensitive data.   This is relevant to LLMs because 'Lobe Chat' is an AI chat framework that likely utilizes LLMs for its functionality, and compromising its security can lead to sensitive information leakage related to AI operations."
CVE-2024-3429,A path traversal vulnerability in the parisneo/lollms application allows unauthorized file reading due to insufficient input sanitization in specific functions.   This is critical for LLMs as it enables attackers to access sensitive files potentially affecting the model's integrity and data confidentiality.  
CVE-2024-3283,"A vulnerability in the mintplex-labs/anything-llm system allows users to escalate their privileges from manager to admin through an improperly authorized API endpoint.   This is relevant as it affects the overall system security of an LLM, evidenced by ""improperly authorizes manager-level users."""
CVE-2024-32878,"Llama.cpp, a component for LLM inference in C/C++, has a vulnerability due to the use of an uninitialized heap variable which can lead to DOS and potential RCE.   This vulnerability is critical as it affects the inference capabilities of an LLM system and may allow attackers to exploit memory issues."
CVE-2024-32964,"Lobe Chat's `/api/proxy` endpoint contains an unauthorized Server-Side Request Forgery (SSRF) vulnerability allowing attackers to access intranet services and leak sensitive information without authentication.   This vulnerability is particularly relevant to LLMs due to its potential to manipulate data flows within a chatbot infrastructure, impacting the integrity and confidentiality of responses (""can cause Server-Side Request Forgery"").  "
CVE-2024-35198,"TorchServe, a tool for serving PyTorch models, has a vulnerability that allows the bypass of the allowed_urls security configuration.   This could lead to unauthorized model downloads by leveraging incorrect URL resolution, as stated: ""check on allowed_urls configuration can be by-passed if the URL contains characters such as '...'."""
CVE-2024-3322,"A path traversal vulnerability exists in the 'cyber_security/codeguard' component of the parisneo/lollms-webui, allowing attackers to read and overwrite arbitrary files.   This flaw in the 'process_folder' function allows an attacker to specify arbitrary paths, potentially leading to sensitive information disclosure.  "
CVE-2024-31462,"The vulnerability in Stable Diffusion's web UI allows for limited file write access, primarily affecting configuration settings on Windows systems.   This indicates a potential security flaw in the system's handling of user input through the `create_ui` method, enabling unauthorized file writes."
CVE-2024-37146,"Flowise, a tool for building workflows for large language models, has a reflected cross-site scripting (XSS) vulnerability in its `/api/v1/credentials/id` endpoint which could be exploited to execute arbitrary scripts.   This vulnerability is particularly concerning because it could allow attackers to run JavaScript in user sessions, potentially leading to data theft or unauthorized redirection."
CVE-2024-34440,"The CVE-2024-34440 vulnerability allows for unrestricted file uploads in the AI Engine: ChatGPT Chatbot plugin for WordPress versions up to 2.2.63.   This issue could potentially allow attackers to upload malicious files, which poses risks to the underlying system since it is specifically tied to an LLM-related chatbot application."
CVE-2024-35199,"The vulnerability allows unauthorized access to gRPC ports of TorchServe, potentially exposing critical model serving capabilities.   High CVSS scores indicate serious availability impact, making it a significant concern for systems deploying PyTorch models."
CVE-2024-3166,"A Cross-Site Scripting (XSS) vulnerability in the mintplex-labs/anything-llm application could lead to the execution of arbitrary JavaScript code, affecting both desktop and web versions.   This vulnerability can escalate to Remote Code Execution due to insecure settings in Electron, indicating a significant risk for users interacting with the system."
CVE-2024-3121,"A remote code execution vulnerability exists in the create_conda_env function of the parisneo/lollms repository, version 5.9.0, due to improper use of subprocess calls.   This is relevant to LLMs as the vulnerability directly affects the lollms system, which is likely used in LLM-related tasks, enabling execution of arbitrary commands."
CVE-2024-3435,"A path traversal vulnerability in the 'save_settings' endpoint of the parisneo/lollms-webui allows attackers to manipulate application configurations.   This is relevant to LLM as it could lead to remote code execution, compromising the LLM model's integrity through unauthorized access.  "
CVE-2024-34073,"The vulnerability in the sagemaker-python-sdk allows OS Command Injection due to improper handling of the ""requirements_path"" parameter in the capture_dependencies function.   This flaw can lead to remote code execution and affects the confidentiality and integrity of the system, as stated in the CVE description mentioning ""potentially unsafe Operating System (OS) Command Injection."""
CVE-2024-34072,"The CVE-2024-34072 vulnerability in the sagemaker-python-sdk enables deserialization of untrusted data, which can lead to remote code execution.   This is particularly relevant because it affects the training and deployment of machine learning models, systems critical to the functionality of large language models.  "
CVE-2024-3570,"A stored Cross-Site Scripting (XSS) vulnerability in the chat functionality of the mintplex-labs/anything-llm allows attackers to execute malicious scripts within user sessions.   The vulnerability arises from improper input sanitization using `dangerouslySetInnerHTML`, making it susceptible to script injection."
CVE-2024-36421,"The vulnerability in Flowise, identified as CVE-2024-36421, results from a CORS misconfiguration that allows arbitrary origins to access the server, potentially leading to information theft.   This is relevant to LLMs because Flowise is a platform specifically designed to build customized LLM flows, and the misconfiguration may expose sensitive user data."
CVE-2024-3568,"The CVE-2024-3568 vulnerability in the huggingface/transformers library allows for arbitrary code execution through deserialization during model loading.   This vulnerability directly impacts the LLM framework by exploiting the `load_repo_checkpoint()` function, potentially allowing attackers to execute malicious code during the model training process."
CVE-2024-37465,"Improper Neutralization of Input During Web Page Generation (XSS) vulnerability in the GPT3 AI Content Writer plugin for WordPress allows stored XSS attacks.   This vulnerability is relevant because it affects a plugin leveraging AI technology; as mentioned, it ""allows Stored XSS"" targeting the GPT3 AI Content Writer."
CVE-2024-37032,"Ollama versions prior to 0.1.34 fail to properly validate the format of the model digest, resulting in potential issues with model path handling.   This vulnerability could allow unintended model path access or command execution due to mishandled input, affecting security in LLM deployments."
CVE-2024-3569,"A Denial of Service (DoS) vulnerability in the mintplex-labs/anything-llm application can severely impact the system when it operates in 'just me' mode with a password.   This is highly relevant to LLM systems as it affects availability, with a CVSS base score of 7.5 indicating significant impact on resource consumption.  "
CVE-2024-38791,"Server-Side Request Forgery (SSRF) vulnerability in the AI Engine: ChatGPT Chatbot affects versions up to 2.4.7.   This vulnerability allows attackers to potentially exploit the chatbot system to send unauthorized requests, impacting its security functionality."
CVE-2024-37145,"In version 1.4.3 of the Flowise system, a reflected cross-site scripting (XSS) vulnerability allows attackers to inject JavaScript into user sessions through a crafted URL.   This poses risks as attackers can steal information and manipulate user sessions, with evidence mentioning ""allowing the attacker to steal sensitive information.""  "
CVE-2024-37895,"The vulnerability involves the exposure of sensitive information, specifically the API key in the lobe-chat framework for LLMs/AI chat systems.   This API key leak could allow unauthorized actors to perform actions that compromise the system's integrity since it directly affects an LLM-specific component.  "
CVE-2024-39720,"An issue in Ollama versions before 0.1.46 allows attackers to exploit malformed GGUF files leading to application crashes.   This vulnerability is critical as it affects the Ollama application which is likely used for managing and deploying LLMs, demonstrating a risk in model management."
CVE-2024-36422,"In version 1.4.3 of Flowise, a reflected cross-site scripting (XSS) vulnerability occurs in the `api/v1/chatflows/id` endpoint, potentially allowing an attacker to inject malicious scripts.   This vulnerability is particularly concerning for LLM applications since it may enable attackers to exploit user sessions and access sensitive information by manipulating JavaScript in the context of LLM-driven workflows.  "
CVE-2024-36423,"In version 1.4.3 of the Flowise platform, a reflected cross-site scripting (XSS) vulnerability exists in the `/api/v1/public-chatflows/id` endpoint, allowing attackers to inject JavaScript into user sessions.   This affects the LLM interface by enabling malicious actors to steal sensitive information and perform unauthorized actions within the user's session, indicating the potential exploitation of LLM-integrated functionality."
CVE-2024-4151,"An Improper Access Control vulnerability in the `lunary-ai/lunary` system allows unauthorized users to access and modify prompts due to insufficient access checks in PATCH and GET requests.   This vulnerability could lead to significant data integrity and confidentiality issues, as the description states ""users can view and update any prompts in any projects.""  "
CVE-2024-37902,"The vulnerability in DeepJavaLibrary (DJL) allows path traversal due to inadequate restrictions on file paths, potentially leading to overwriting system files.   This is highly relevant to LLMs as DJL is utilized in large model inference, which can be compromised if unauthorized files are processed."
CVE-2024-39686,"Bert-VITS2's `bert_gen` function is vulnerable to OS command injection due to improper handling of user input.   This vulnerability allows arbitrary command execution, impacting both confidentiality and integrity, as specified in ""CWE-78: Improper Neutralization of Special Elements used in an OS Command""."
CVE-2024-39688,"The vulnerability CVE-2024-39688 in the Bert-VITS2 system allows for improper file writes due to a path traversal issue in the `generate_config` function.   This affects the LLM component by potentially enabling unauthorized access or manipulation of configuration files, as evidenced by “writing /config/config.json file in arbitrary directory on the server.”"
CVE-2024-38514,"There is a critical Server-Side Request Forgery (SSRF) vulnerability in the NextChat system, which lacks validation of the `endpoint` parameter, allowing attackers to send arbitrary requests and potentially execute JavaScript code in user browsers.   This is highly relevant as it affects a system that works as an interface for interacting with LLMs, specifically targeting its API vulnerabilities, highlighted by the severity rating of CVSS 7.4.  "
CVE-2024-3851,"A stored Cross-Site Scripting (XSS) vulnerability exists in the 'imartinez/privategpt' repository due to improper validation of file uploads.   This vulnerability is significant as it allows attackers to upload malicious HTML files that execute arbitrary JavaScript code in a user's browser session, potentially leading to phishing."
CVE-2024-40594,"The OpenAI ChatGPT app for macOS prior to July 2024 stores user conversations in cleartext, violating data confidentiality.   This vulnerability poses a risk to user privacy, as the app's implementation results in sensitive conversation data being accessible to other applications in an unencrypted format."
CVE-2024-42479,"The vulnerability in `llama.cpp` allows for arbitrary address writing through an unsafe use of the `data` pointer in the `rpc_tensor` structure, affecting LLM inference operations.   This is strongly relevant to LLMs as it compromises the integrity of the inference process, as indicated by ""arbitrary address writing"" which can lead to severe consequences."
CVE-2024-4078,"A vulnerability in the parisneo/lollms allows for arbitrary code execution due to insufficient sanitization of user input, specifically in the `/unInstall_binding` endpoint.   This impacts the deployment of LLM systems, raising serious concerns as it enables remote code execution, evidenced by the CVSS score of 9.8 indicating critical severity."
CVE-2024-4084,"A Server-Side Request Forgery (SSRF) vulnerability in the mintplex-labs/anything-llm component allows attackers to circumvent security measures designed to restrict internal network access.   This SSRF flaw stems from insufficient validation of user-supplied URLs, which could facilitate unauthorized access to internal assets."
CVE-2024-41130,"The vulnerability in llama.cpp involves a null pointer dereference in the gguf_init_from_file function, which affects LLM inference capabilities.   This is relevant because it compromises a fundamental component of the llama.cpp system used for LLM inference, stating ""prior to b3427, llama.cpp contains a null pointer dereference."""
CVE-2024-38206,"Microsoft Copilot Studio is vulnerable to a Server-Side Request Forgery (SSRF) attack that could allow an authenticated attacker to leak sensitive information.   This vulnerability is relevant to LLMs as it affects a system designed for LLM operations, as indicated by the title ""Microsoft Copilot Studio Information Disclosure Vulnerability""."
CVE-2024-39685,"The vulnerability in the Bert-VITS2 model involves a command injection flaw in the `webui_preprocess.py` file's `resample` function, allowing arbitrary command execution through user-supplied input.   This is critical as it can lead to unauthorized system actions: ""User input supplied to the data_dir variable is used directly in a command executed with subprocess.run(cmd, shell=True)."""
CVE-2024-3924,"The vulnerability CVE-2024-3924 involves a code injection flaw in the huggingface/text-generation-inference system, specifically within the `autodocs.yml` workflow.   This flaw stems from the insecure handling of the `github.head_ref` input, allowing attackers to execute arbitrary code within the GitHub Actions runner.  "
CVE-2024-3402,"A stored Cross-Site Scripting (XSS) vulnerability in the gaizhenbiao/chuanhuchatgpt application allows for the execution of malicious JavaScript code in user browsers.   This is relevant to LLMs as it pertains to the security of a chatbot application leveraging model output, leading to potential browser hijacking."
CVE-2024-42478,"llama.cpp, a library providing LLM inference capabilities, is vulnerable to an out-of-bounds read due to an unsafe pointer in its rpc_tensor structure, allowing arbitrary address access.   This vulnerability affects LLM systems that utilize llama.cpp, as detailed in the description stating, ""The unsafe `data` pointer member... can cause arbitrary address reading."""
CVE-2024-42477,"The vulnerability in the `llama.cpp` system is a global buffer overflow in the `rpc_tensor` structure, which could potentially lead to memory data leakage.   This is relevant as it impacts the underlying system providing LLM inference capabilities, specifically the `llama.cpp` product."
CVE-2024-4284,"A vulnerability in the ""anything-llm"" system from mintplex-labs allows for a denial of service (DoS) condition through improper user ID handling, leading to inaccessible accounts.   This issue affects the LLM system's availability, showcasing the consequence of ""uncontrolled resource consumption.""  "
CVE-2024-4181,"A command injection vulnerability exists in the RunGptLLM class of the llama_index library, allowing arbitrary command execution on client machines.   This vulnerability is relevant to LLMs as it targets a specific component (llama_index) used to connect with Language Learning Models and poses a risk of full control over clients' systems."
CVE-2024-4267,"A remote code execution (RCE) vulnerability exists within the 'open_file' module of the parisneo/lollms-webui due to improper command neutralization.   This vulnerability is LLM-relevant as it involves executing arbitrary commands via user data in the LLM web interface, potentially compromising the system."
CVE-2024-4264,A remote code execution (RCE) vulnerability exists in the `berriai/litellm` project due to unsafe usage of the `eval` function within the `litellm.get_secret()` method.   This is highly relevant as it allows attackers to manipulate the behavior of a language model system by injecting malicious code through environment variables.
CVE-2024-4320,"A remote code execution (RCE) vulnerability in the `/install_extension` endpoint of the parisneo/lollms-webui application can allow attackers to execute arbitrary code.   This vulnerability can be exploited without user interaction, making it particularly dangerous for systems exposed to external networks."
CVE-2024-4286,"Mintplex-Labs' anything-llm application suffers from improper neutralization of special elements in expression language statements, potentially leading to severe data manipulation.   This vulnerability can be exploited to modify user database attributes without proper checks, impacting the integrity of user interactions with the LLM.  "
CVE-2024-4322,"A path traversal vulnerability in the parisneo/lollms-webui application allows attackers to manipulate the `category` parameter within the `/list_personalities` endpoint, leading to potential information disclosure.   This is relevant since the system may inadvertently expose user-sensitive information through improper input validation."
CVE-2024-4099,"An AI feature in GitLab was found to improperly handle unsanitized content, allowing for prompt injection attacks.   This vulnerability is directly connected to LLMs because it implicates an AI feature that processes inputs without adequate sanitization, as evidenced by ""An AI feature was found to read unsanitized content.""  "
CVE-2024-4498,"A Path Traversal and RFI vulnerability in the parisneo/lollms-webui allows attackers to manipulate file system paths, leading to Remote Code Execution.   This issue is relevant as it targets a component of an LLM interface, allowing attackers potential unauthorized access and code execution through the web UI (""discuss_db_name"" parameter)."
CVE-2024-4499,"A Cross-Site Request Forgery (CSRF) vulnerability exists in the XTTS server of parisneo/lollms version 9.6 due to a lax CORS policy, allowing unauthorized API requests.   This vulnerability is relevant because it affects an LLM-related component, specifically the XTTS server used in text-to-speech functionalities."
CVE-2024-4343,"A Python command injection vulnerability in imartinez/privategpt allows attackers to execute arbitrary commands through the `complete()` method, compromising the system's integrity.   The use of `eval()` to parse strings from an AWS SageMaker LLM endpoint creates a critical security flaw, enabling potential exploitations."
CVE-2024-4321,"A Local File Inclusion (LFI) vulnerability in the gaizhenbiao/chuanhuchatgpt application allows attackers to exploit improper input validation in file path handling.   This is particularly relevant to LLM systems since it involves the management of chat history, which could expose sensitive information related to model interactions, as stated, ""read sensitive files on the server, leading to information leakage."""
CVE-2024-4315,"The vulnerability CVE-2024-4315 involves a Local File Inclusion (LFI) issue in the parisneo/lollms system due to insufficient path sanitization, compromising Windows systems.   This is relevant to LLMs as it targets the lollms framework, which is utilized for running language models and could lead to unauthorized file access or deletion, impacting system stability.  "
CVE-2024-4287,"In the mintplex-labs/anything-llm system, improper input validation allows unauthorized creation of Administrator accounts.   This vulnerability is classified as ""CWE-20 Improper Input Validation"" and has a high confidentiality and integrity impact."
CVE-2024-41950,"Haystack, an end-to-end LLM framework, is vulnerable to remote code execution due to insecure Jinja2 templates which allow arbitrary code execution if rendered improperly.   This vulnerability is pertinent as it relates to the LLM framework directly used in application development and execution, as described in the advisory: ""if anyone can create and render that template on the client machine they run any code.""  "
CVE-2024-43610,"The vulnerability in Microsoft Copilot Studio allows an unauthorized actor to access sensitive information through network attacks.   This is relevant because it exposes data in an LLM-related environment, indicating potential risks connected to unattended interactions in AI-assisted applications.  "
CVE-2024-36420,The Flowise system's `/api/v1/openai-assistants-file` endpoint is vulnerable to arbitrary file read due to insufficient sanitization of the `fileName` parameter.   This indicates a security flaw that could expose sensitive information or enable further exploitation.  
CVE-2024-4520,"An improper access control vulnerability in the gaizhenbiao/chuanhuchatgpt application allows users to access others' chat histories without interaction.   The breach of confidentiality could lead to significant data leaks due to ""insufficient access control mechanisms"" in handling chat history data."
CVE-2024-42679,"SQL Injection vulnerability in the 'litellm' component of the Super easy enterprise management system allows local attackers to execute arbitrary code.   This issue directly impacts the LLM implementation (litellm) and is categorized as a type C relevance, as it suggests exploitation methods and evaluation of vulnerabilities in LLM systems."
CVE-2024-4328,"A Cross-Site Request Forgery (CSRF) vulnerability in the `clear_personality_files_list` function of the `parisneo/lollms-webui` can lead to unauthorized actions such as deleting files.   This vulnerability specifically targets a component of the LLM system and allows attackers to exploit poor request handling, stating ""the vulnerability arises from the use of a GET request to clear personality files list.""  "
CVE-2024-4403,"A Cross-Site Request Forgery (CSRF) vulnerability exists in the `restart_program` function of the `parisneo/lollms-webui`, which can lead to unintended actions like program resets.   This vulnerability is relevant as it impacts the functionality and security of a system designed for LLM interaction, as seen through the phrase ""affects the installation process.""  "
CVE-2024-4560,"The Kognetiks Chatbot for WordPress is vulnerable to arbitrary file uploads, allowing unauthenticated attackers to upload files to the server, which could lead to remote code execution.   This vulnerability affects the chatbot system's file upload functionality, highlighting the risk posed by missing file type validation in the `chatbot_chatgpt_upload_file_to_assistant` function."
CVE-2024-46946,"The vulnerability concerns LangChain Experimental's LLMSymbolicMathChain allowing arbitrary code execution due to improper input validation in the sympy.sympify function.   This is relevant to LLMs because it directly affects a component used in LLMs for symbolic math, potentially impacting model behavior and security."
CVE-2024-48139,"A prompt injection vulnerability in the chatbox of Blackbox AI v1.3.95 enables attackers to exfiltrate chat data between users and the AI assistant through crafted messages.   This vulnerability directly relates to how LLMs handle prompts, as it allows unauthorized access to sensitive user interactions, demonstrating potential risks in prompt handling techniques."
CVE-2024-45201,An issue in the `llama_index` package prior to version 0.10.38 allows for code injection via an exec call in the `download/integration.py` file.   The vulnerability is relevant to LLMs as it relates to code execution which could compromise the stability and security of LLM-integrating systems.
CVE-2024-45989,"Monica AI Assistant desktop application v2.3.0 is vulnerable to exposure of sensitive information through a prompt injection, which may allow unauthorized access to user chat data.   This is significant because it specifically relates to the use of prompts in an AI context: ""A prompt injection allows an attacker to modify chatbot answer."""
CVE-2024-4326,"The vulnerability in the parisneo/lollms-webui allows remote code execution through improperly secured endpoints.   This crucial flaw lets attackers execute arbitrary code by leveraging the `/apply_settings` and `/execute_code` endpoints, indicating high risk to LLM-related functionality.  "
CVE-2024-46489,"A remote command execution (RCE) vulnerability in the promptr version 6.0.7 allows attackers to execute arbitrary commands via a crafted URL.   This type is relevant because the vulnerability affects a component related to LLM prompting, with the description noting ""arbitrary commands"" could be executed through manipulated inputs."
CVE-2024-48140,"A prompt injection vulnerability in the chatbox of ""Monica Your AI Copilot"" allows attackers to exfiltrate chat data.   This vulnerability is significant as it compromises the confidentiality of user interactions with the AI assistant, evidenced by ""access and exfiltrate all previous and subsequent chat data."""
CVE-2024-48145,"A prompt injection vulnerability in the chatbox of Netangular Technologies ChatNet AI allows for the exfiltration of sensitive chat data via a crafted message.   This type of vulnerability directly impacts LLMs by compromising the confidentiality of user interactions, indicating a high severity with ""CVSS base score: 9.1""."
